"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"416",4,115,"CS",1,4,4,13.5448333333333,37
"417",4,116,"CS-US",1,5,1,13.1972083333333,13
"418",4,117,"CS-US",2,6,2,5.88491666666668,74
"419",4,118,"CS",1,4,4,-0.617291666666665,35
"420",4,119,"CS",2,3,3,3.60958333333333,84
"421",4,120,"CS-US",1,5,1,7.25166666666667,71
"422",4,121,"CS",1,4,4,4.99995833333334,75
"423",4,122,"CS",2,3,3,3.22604166666667,92
"424",4,123,"CS-US",1,5,1,4.05970833333333,31
"425",4,124,"CS",1,4,4,11.0335,92
"426",4,125,"CS-US",1,5,1,-9.95291666666666,26
"427",4,126,"CS-US",2,6,2,2.88416666666667,70
"428",4,127,"CS-US",3,7,3,1.643625,17
"429",4,128,"CS-US",4,8,4,2.89754166666666,26
"430",4,129,"CS",1,4,4,-12.864875,27
"431",4,130,"CS-US",1,5,1,9.80295833333333,36
"432",4,131,"CS-US",2,6,2,-16.9600416666667,20
"433",4,132,"CS-US",3,7,3,-0.135208333333326,83
"434",4,133,"CS",1,4,4,6.582625,57
"435",4,134,"CS-US",1,5,1,1.03245833333334,21
"436",4,135,"CS-US",2,6,2,2.45016666666666,70
"437",4,136,"CS",1,4,4,9.70054166666667,20
"438",4,137,"CS-US",1,5,1,0.59783333333334,76
"439",4,138,"CS",1,4,4,-8.921125,88
"440",4,139,"CS",2,3,3,1.293375,27
"441",4,140,"CS-US",1,5,1,3.512125,25
"442",4,141,"CS-US",2,6,2,-0.393249999999997,83
"443",4,142,"CS-US",3,7,3,-0.867583333333338,17
"444",4,143,"CS",1,4,4,-6.87341666666667,28
"445",4,144,"CS-US",1,5,1,2.45870833333334,81
"446",4,145,"CS",1,4,4,4.15566666666666,10
"447",4,146,"CS",2,3,3,-1.74654166666666,17
"448",4,147,"CS-US",1,5,1,9.14925,87
"449",4,148,"CS",1,4,4,-4.65758333333334,23
"450",4,149,"CS-US",1,5,1,-10.0602083333333,17
"451",4,150,"CS-US",2,6,2,1.75033333333333,71
"452",4,151,"CS",1,4,4,7.439125,17
"453",4,152,"CS",2,3,3,-5.82483333333333,74
"454",4,153,"CS-US",1,5,1,6.14679166666667,18
"455",4,154,"CS",1,4,4,0.0392083333333311,67
"456",4,155,"CS-US",1,5,1,-0.644958333333332,19
"457",5,2,"CS",1,4,4,4.58220833333333,69
"458",5,3,"CS",2,3,3,-2.12575,75
"459",5,4,"CS-US",1,5,1,-5.273,23
"460",5,5,"CS-US",2,6,2,2.645875,22
